CLASS,FlowAccumul,FlowLength,GeneralCurv,PlanCurvatu,ProfileCurv,Slope,TRI,TWI,LSI
1,1346.2303467,323.2244873,-0.0255999994,0.0016241611,-0.0095128007,27.543670654,4.6368093491,2.7744371891,1.3552689552
1,223.28433228,49.480323792,0.0255999994,0.1414213628,0.004777052,3.2376880646,0.7071067691,4.4769234657,-4.1824727058
1,3400.8786621,508.67483521,-0.0127999997,-0.0228268821,-0.0025313173,9.3651580811,1.5,3.3670578003,-0.5828107595
0,1706.901001,66.939170837,0,-0.0319820158,0.0061362218,11.527973175,1.8708287477,4.2705807686,-6.4460196495
0,962.68743896,172.05630493,0,-0.0282842703,0.0031395287,6.4548301697,1,4.0920376778,-6.4460196495
1,833.02062988,71.597755432,0,-0.0047140452,0.0013585975,18.74779129,3,3.1088545322,0.7803304195
1,1328.7784424,438.15194702,-0.0768000036,-0.0283100884,-0.0099557303,35.329082489,6.4420495033,2.7004678249,-2.3043210506
0,1700.7764893,199.24397278,0.0127999997,0,0.0057149199,15.642246246,2.5,3.4522564411,0.5977193117
1,410.03451538,83.678977966,0,0,0,4.5739212036,0.7071067691,3.9567716122,-1.5992741585
1,445.07730103,409.13659668,0.0384000018,0.0291474964,0.0111073209,13.674945831,2.291287899,2.9081864357,-1.0439485312
1,1019.4428101,112.69187164,-0.0127999997,-0.0116376812,-0.0017412117,20.243055344,3.2787191868,3.0719544888,1.4077619314
1,1461.4815674,212.75125122,-0.0255999994,-0.0088543771,-0.0096216928,14.196947098,2.3452079296,3.3972303867,3.3127486706
1,2351.3005371,178.0565033,-0.0255999994,-0.0282842703,-0.0042766687,15.793169022,2.5495097637,3.4746956825,1.1446615458
1,813.41223145,149.25563049,-0.0127999997,0,-0.0057149199,15.642246246,2.5,2.8572361469,1.8243265152
1,2254.7016602,162.34657288,-0.0127999997,-0.0281600002,-0.0007241211,11.309932709,1.8027756214,4.0608820915,0.1430794895
0,545.67028809,51.351474762,0.0127999997,0,0.006264207,6.8427734375,1.1180340052,3.7084386349,-5.0676865578
1,553.14111328,168.61601257,0,0.0056568542,-0.0014255563,15.793169022,2.5495097637,2.7168629169,-0.1738886237
0,156.25,0,0.0127999997,0,0.0063846707,2.290610075,0.5,4.7668027878,-1.310578227
0,312.5,15.48934269,0,0,0,4.5739212036,0.7071067691,4.6370205879,-4.3539843559
1,1200.8293457,610.41070557,-0.0127999997,-0.0036567515,-0.0049667563,14.366056442,2.291287899,3.0736980438,1.6421060562
0,1030.7294922,91.375213623,0,0,0,0,0.7071067691,4.6777281761,-3.1014740467
0,578.58319092,154.61035156,-0.0127999997,-0.0136541585,-0.0042960383,8.2067270279,1.3228756189,4.2932744026,-2.2839276791
0,537.65106201,180.64028931,0,-0.0310715083,0.0066935066,13.128846169,2.1213202477,3.1383831501,1.4077619314
0,1043.697998,74.625236511,-0.0127999997,0,-0.0063846707,2.290610075,0.5,4.791033268,-6.765748024
0,3582.560791,141.21594238,-0.0127999997,-0.0127999997,-0.0036206057,11.309932709,1.8027756214,4.4483370781,-3.1014740467
1,771.43804932,106.85878754,0.0127999997,0.0204799995,0.0021723635,11.309932709,1.8027756214,3.2995839119,-1.0955519676
1,2749.513916,192.1918335,-0.0255999994,-0.0152364643,-0.003521686,27.123790741,4.582575798,3.2901124954,-0.2474761009
0,772.44140625,208.69447327,-0.0127999997,0,-0.0063846707,2.290610075,0.5,4.7170166969,-0.7263890505
1,1063.444458,114.49158478,-0.0255999994,-0.0071289609,-0.0042967955,34.98102951,6.2048368454,2.3355777264,-1.6307170391
0,156.25,0,0.0255999994,0.0565685406,0.0095541039,3.2376880646,0.7071067691,4.5631685257,-6.765748024
1,196.43582153,414.38156128,0.0768000036,0.0643987581,0.0256395098,10.142106056,2.2360680103,3.4798820019,-1.9125446081
0,302.39587402,15.338048935,0,0,0,4.5739212036,0.7071067691,4.2261567116,-6.9058961868
1,649.1427002,160.27813721,0.0127999997,0.0170977116,0.0007639334,17.874008179,2.8722813129,2.6031031609,0.5977193117
1,1430.1270752,353.71261597,0,-0.0080812201,0.0025719502,21.602565765,3.535533905,3.3632106781,1.7600864172
0,1002.1868286,90.738868713,0,-0.0115619274,0.0033636466,18.987981796,3.0822069645,2.9479341507,-0.0026803017
1,211.76286316,49.142543793,0.0255999994,0.1414213628,0.004777052,3.2376880646,0.7071067691,4.0484805107,-0.083429873
1,831.24542236,185.931427,0,0.0004833435,-0.0001851408,37.575237274,6.8190908432,2.1992707253,0.8622641563
1,542.71887207,70.204055786,0.0255999994,0.0172056705,0.0066165486,16.942358017,2.7386128902,2.882920742,-5.7104487419
0,794.76074219,253.21969604,-0.0255999994,-0.0505964421,-0.0062494157,7.2091207504,1.224744916,3.5432033539,0.9000852108
0,3034.447998,168.13717651,0.0127999997,-0.0024378344,0.0063858293,14.366056442,2.291287899,4.2927746773,-7.0288486481
1,5431.3105469,254.15098572,0,0,0,10.142106056,1.5811388493,3.8156652451,0.8698676825
0,175.76152039,177.79449463,0.0384000018,0.0143108349,0.0177070908,5.1110897064,1.1180340052,3.5417370796,0.9000852108
0,591.50927734,82.474266052,-0.0255999994,-0.018599622,-0.0054110833,18.987981796,3.0822069645,2.6067545414,-5.5806646347
1,2053.2150879,357.33746338,0,0.0049114078,-0.001599053,22.383098602,3.6742346287,2.858379364,-0.1204626486
0,605.86883545,44.728004456,0,0.0141421352,-0.0015697643,6.4548301697,1,3.8091244698,-2.9435420036
1,465.08035278,88.08052063,0.0511999987,0.0565685406,0.015332873,9.6316518784,1.8708287477,3.3377542496,-3.1014740467
0,156.25,0,0.0255999994,0.1131370813,0.0063694026,3.2376880646,0.7071067691,4.8930945396,-1.310578227
0,1351.5253906,122.58894348,-0.0127999997,-0.0365230106,-0.0003616168,9.3651580811,1.5,3.3346076012,1.8758640289
0,1795.3830566,81.206481934,-0.0384000018,-0.0410883874,-0.0119333528,9.3651580811,1.6583124399,3.9127514362,-3.1014740467
0,186.60687256,12.5,0.0255999994,0.0354175083,0.0081242407,7.2091207504,1.224744916,3.2811291218,-0.8228379488
1,1861.4080811,276.30325317,0,0.0071554175,-0.0027538626,35.58530426,6.324555397,2.605222702,0.6452364922
1,2444.3764648,392.45346069,-0.0255999994,-0.0256015472,-0.0048035942,16.089893341,2.6457512379,3.8236904144,-3.1334695816
0,187.19636536,12.5,0,0,0,4.5739212036,0.7071067691,3.7004184723,-2.0294163227
0,921.59912109,112.97729492,-0.0127999997,0.001024526,-0.006185241,12.156145096,1.9364917278,3.3605480194,-10.26822567
1,525.54077148,49.295948029,0.0127999997,0,0.0060343426,11.309932709,1.8027756214,3.2864940166,0.1386651546
0,422.21289063,52.272964478,0.0255999994,0.0343957543,0.0054415553,11.527973175,1.8708287477,3.0098557472,-3.4863708019
1,1512.4604492,323.31851196,-0.0255999994,-0.019395303,-0.0044459016,20.780418396,3.3911650181,2.9731926918,1.2532552481
1,1123.5906982,409.28967285,0,-0.0022826882,0.0006448834,18.255058289,2.9154758453,3.0104892254,-0.0933308005
0,290.73519897,37.838600159,0.0127999997,0.0858650133,-0.0012647922,5.1110897064,0.8660253882,4.1095533371,-1.2924715281
0,990.16668701,83.752937317,-0.0255999994,-0.0581859089,-0.0053120032,7.2091207504,1.224744916,3.7814266682,-10.26822567
0,1015.8639526,225.45039368,-0.0127999997,0,-0.0060343426,11.309932709,1.8027756214,2.9804635048,1.2454736233
0,456.64294434,126.6853714,0.0255999994,0.0505964421,0.0062494157,7.2091207504,1.224744916,3.5699675083,-3.2066423893
0,4081.3383789,746.12219238,0,0,0,4.5739212036,0.7071067691,4.8250441551,-0.7263890505
1,4842.7519531,469.37646484,-0.0255999994,-0.0130983284,-0.0032328924,30.565797806,5.2440443039,3.1419043541,3.226028204
1,752.12530518,70.933479309,0.0127999997,0.0095405569,0.0034597048,15.020256996,2.3979158401,3.4327495098,1.2498301268
1,2330.0722656,275.57028198,0,0.0038112283,-0.0014627378,37.04253006,6.6708321571,3.0873639584,-4.9995026588
1,55996.976563,1133.3470459,0.0127999997,-0.0179200005,0.0094135748,11.309932709,1.8027756214,4.3314862251,-4.9041213989
1,1359.8566895,787.50378418,0.0255999994,0.0354175083,0.0081242407,7.2091207504,1.224744916,3.3319368362,1.2498301268
0,782.36938477,212.15386963,0.0127999997,0.0136541585,0.0042960383,8.2067270279,1.3228756189,3.2882754803,0.9225665331
1,1477.8117676,172.49620056,-0.0384000018,-0.0410883874,-0.0119333528,9.3651580811,1.6583124399,3.4480500221,1.6421060562
1,271.17626953,15.440888405,0.0255999994,0.0505964421,0.0062494157,7.2091207504,1.224744916,3.683565855,1.3227676153
1,1206.425415,249.19148254,0,0,0,17.744670868,2.8284270763,3.1301207542,2.2339711189
1,904.77618408,112.67344666,0.0127999997,0.0319576338,0.0010848503,9.3651580811,1.5,3.5244321823,3.9044582844
0,923.36547852,91.823043823,0.0255999994,0.0283614099,0.0065993327,11.527973175,1.8708287477,3.6437473297,-6.4460196495
0,2652.1513672,225.70861816,-0.0384000018,-0.0435199998,-0.0098963222,11.309932709,1.9364917278,3.8990368843,-0.8380448818
1,9616.328125,210.71685791,-0.0255999994,-0.0799999982,0,9.0902767181,1.5811388493,4.1657838821,2.0550055504
1,1576.6405029,484.84442139,-0.0127999997,-0.0502191409,0.0018080837,9.3651580811,1.5,3.5181007385,-2.0947155952
0,272.85653687,35.555755615,0.0255999994,0.0565685406,0.0030665747,9.6316518784,1.5811388493,2.9707195759,-3.105830431
0,323.98260498,20.592470169,0,0,0,4.5739212036,0.7071067691,4.0843219757,-4.3539843559
1,745.22589111,82.522102356,0,0,0,18.255058289,2.9154758453,2.9631392956,0.6469913721
1,873.94885254,190.25883484,-0.0127999997,-0.0040981038,-0.0051543675,12.156145096,1.9364917278,2.9105539322,-5.3646259308
1,305.63296509,15.207840919,-0.0255999994,-0.0565685406,-0.0095541039,3.2376880646,0.7071067691,5.3265633583,-3.5544564724
1,1373.0369873,204.60630798,-0.0127999997,-0.005612025,-0.0025631434,26.619962692,4.4440970421,2.5479695797,-3.3582880497
1,1158.9210205,208.93475342,0,0,0,19.68572998,3.1622776985,2.8510141373,-0.2346362472
0,576.18933105,284.94689941,0,0,0,9.0902767181,1.4142135382,3.2719333172,-1.310578227
1,699.08050537,104.98199463,-0.0127999997,-0.0221650731,0.0004561986,17.34932518,2.7838821411,2.9711120129,-1.9560662508
0,874.11322021,128.37876892,-0.0255999994,-0.1697056293,-0.0031847013,3.2376880646,0.7071067691,4.3991823196,0.3120777011
0,666.16668701,55.49993515,0.0255999994,0.0581859089,0.0053120032,7.2091207504,1.224744916,4.0661916733,-5.0676865578
1,4755.4658203,955.19671631,-0.0255999994,0,-0.0110586258,17.744670868,2.9154758453,3.4060451984,-1.2014905214
1,851.6842041,105.96485901,-0.0255999994,-0.0157297589,-0.0059033483,19.911167145,3.2403702736,2.6770796776,1.4077619314
1,11125.897461,764.31860352,0.0127999997,0.0120900394,0.0022809932,17.34932518,2.7838821411,3.6273877621,-4.3103017807
1,1941.8825684,607.04833984,0,0,0,6.4548301697,1,3.7183549404,-5.2594571114
1,1134.8651123,133.87428284,-0.0127999997,0.0015260671,-0.0049005747,28.548791885,4.8218255043,2.5092186928,0.1680783778
1,1790.7714844,984.918396,0,-0.0057600001,0.0021940509,38.659809113,7.0710678101,2.5821549892,0.5111098885
1,1002.0209351,727.1739502,-0.0255999994,-0.0313785821,-0.006020444,11.527973175,1.8708287477,3.0058481693,1.9708707333
0,620.22259521,122.79251099,-0.0127999997,-0.0034135396,-0.0057280511,8.2067270279,1.3228756189,3.4261901379,1.6502910852
1,156.25,0,0.0255999994,0.0565685406,0.0095541039,3.2376880646,0.7071067691,4.8715138435,-3.5388741493
1,5035.34375,252.94795227,-0.0384000018,-0.0298114009,-0.0060048327,21.502174377,3.5707142353,3.3595159054,0.8059209585
1,532.06915283,69.313217163,-0.0255999994,-0.0102406191,-0.0087338081,16.089893341,2.6457512379,2.7059285641,-1.2349214554
1,3591.8283691,558.06719971,-0.0127999997,-0.0016586937,-0.0052369167,16.23579216,2.5980761051,3.3140614033,-4.1614069939
1,11614.489258,488.59091187,-0.0127999997,-0.0092207342,-0.004123494,12.156145096,1.9364917278,4.329662323,0.1430794895
0,486.2935791,96.530296326,0.0255999994,0.0188561808,0.0091997236,9.6316518784,1.5811388493,3.3996498585,0.7968475819
0,281.23028564,125.64928436,0.0384000018,0.0588800013,0.0069998372,11.309932709,1.9364917278,2.8345017433,1.2498301268
0,924.79730225,70.191047668,0,-0.0071554175,0.0012209291,10.142106056,1.5811388493,3.4762151241,-7.0288486481
1,997.52624512,77.202095032,-0.0511999987,-0.0259272493,-0.0045311023,34.16954422,6.164413929,2.6403245926,1.6155776978
1,939.21160889,239.85838318,0.0384000018,0.0026582223,0.0094196508,35.285984039,6.3047599792,2.639770031,1.2635412216
1,742.44262695,71.293289185,-0.064000003,-0.0470645986,-0.00654518,26.02450943,4.6636896133,2.6204047203,-0.4082770944
1,1401.0776367,106.78206635,-0.0384000018,-0.0457142852,-0.0057149199,15.642246246,2.5980761051,3.4875400066,0.6134282947
0,915.66107178,157.99490356,0.0255999994,0.0643987581,0.0012209291,10.142106056,1.7320507765,3.5953867435,-3.4512188435
0,274.37988281,14.783176422,0,0,0,4.5739212036,0.7071067691,4.0828051567,-1.2924715281
0,846.25646973,118.74269867,-0.0127999997,-0.0286216699,-0.0037943765,5.1110897064,0.8660253882,4.1397824287,-7.2734246254
1,779.38317871,96.615089417,0.0127999997,0.0134339156,0.0017825114,17.874008179,2.8722813129,2.9187457561,1.6502910852
0,489.5703125,51.609985352,0,0,0,4.5739212036,0.7071067691,3.8145303726,-1.310578227
0,1126.5490723,159.28930664,-0.0255999994,-0.0278280433,-0.0090616532,7.2091207504,1.224744916,3.9556298256,-7.5757908821
1,16576.273438,725.08312988,0.0127999997,0,0.006264207,6.8427734375,1.1180340052,4.9583535194,-1.5726615191
0,1146.2435303,113.96355438,0.0127999997,0.0097513376,0.0035476831,14.366056442,2.291287899,3.0066108704,-0.0026803017
1,216.02192688,14.413956642,0.0255999994,0.0430069752,0.0071868282,7.2091207504,1.224744916,3.5511860847,-0.8564727902
1,249.09645081,30.177669525,0.0127999997,0.0429325067,0.0025295843,5.1110897064,0.8660253882,4.8811821938,-1.3485838175
0,874.93859863,42.183628082,0.0127999997,-0.0068270792,0.0071600638,8.2067270279,1.3228756189,4.303091526,0.6065558195
1,5080.2807617,445.91571045,-0.0127999997,-0.0281600002,-0.0007241211,11.309932709,1.8027756214,4.0221705437,-0.3395983577
0,3255.4519043,146.65681458,-0.0255999994,-0.0343957543,-0.0054415553,11.527973175,1.8708287477,3.499083519,1.2498301268
0,298.50769043,30.565202713,0.0255999994,0.0505964421,0.0062494157,7.2091207504,1.224744916,4.1608428955,-0.0071417261
1,3399.8710938,337.90933228,-0.0127999997,0.0112697864,-0.0082469881,12.156145096,1.9364917278,3.8797857761,0.2919741571
1,785.77807617,622.96374512,0.0127999997,0.0204799995,0.0021723635,11.309932709,1.8027756214,4.0861606598,1.1446615458
1,697.0703125,93.528656006,0,0,0,14.196947098,2.2360680103,3.0308711529,1.886674881
0,567.99163818,293.28820801,0,0,0,9.0902767181,1.4142135382,3.5447976589,1.2498301268
0,156.25,0,0.064000003,0.2003516853,0.0139127141,5.1110897064,1.5,3.9683945179,-2.9435420036
1,172.10273743,17.677669525,0.064000003,0.0819249526,0.0195708405,8.2067270279,1.8027756214,3.2311427593,-0.0239774361
1,477.60476685,58.37266922,-0.0127999997,-0.0092207342,-0.004123494,12.156145096,1.9364917278,3.0507483482,1.9118462801
1,473.9430542,60.201511383,0.0384000018,0.0320546664,0.006094241,20.243055344,3.3541018963,2.6174304485,1.1056092978
0,1807.9145508,155.88543701,-0.0127999997,-0.0136541585,-0.0042960383,8.2067270279,1.3228756189,4.045873642,-3.105830431
1,546.41357422,709.40045166,0.0127999997,0.0134726856,-0.0018852378,36.769351959,6.6143784523,1.7798594236,1.2520134449
1,1678.9771729,365.19467163,-0.0384000018,-0.0137137799,-0.0109327007,21.899881363,3.6400549412,2.7091374397,2.2045817375
0,212.70457458,14.138503075,0,0,0,4.5739212036,0.7071067691,4.6991968155,-1.0439485312
1,321.74359131,298.59222412,0.0255999994,0.1414213628,0.004777052,3.2376880646,0.7071067691,5.2042565346,0.1386651546
1,24139.115234,502.29678345,-0.0384000018,-0.0451994017,-0.0053437925,16.23579216,2.6925823689,4.2461752892,0.4361949563
1,425.83004761,122.0385437,0.0127999997,0,0.0063846707,2.290610075,0.5,3.9740483761,1.6502910852
1,3219.7312012,386.99191284,0,0,0,16.089893341,2.5495097637,3.2921421528,1.7897520065
0,746.00738525,151.91950989,0.0255999994,0.0430069752,0.0071868282,7.2091207504,1.224744916,3.6196825504,-10.26822567
1,1030.5928955,265.1789856,0,-0.0071554175,0.0021368612,19.68572998,3.1622776985,3.2977411747,1.1056092978
0,156.25,0,0.0255999994,0.1131370813,0.0063694026,3.2376880646,0.7071067691,4.6379957199,-3.5544564724
1,2305.4174805,626.00140381,0,0.0022826882,-0.0006448834,18.255058289,2.9154758453,2.9931180477,2.2089722157
1,2380.3803711,262.00219727,-0.0384000018,-0.0213527046,-0.0068361755,25.088430405,4.2130746841,3.3559117317,1.2498301268
1,1033.675415,120.24092102,0,-0.0102406191,0.0026201424,16.089893341,2.5495097637,3.1310930252,1.306558609
1,299.43893433,66.347961426,0.0511999987,0.0433710776,0.0096732518,18.255058289,3.0822069645,2.3807709217,-3.1007120609
0,250.83830261,47.85533905,-0.0127999997,0,-0.0063846707,2.290610075,0.5,4.1342720985,-2.9435420036
0,219.82615662,151.43901062,0.0127999997,0,0.0063846707,2.290610075,0.5,4.9545292854,-3.1014740467
1,1602.8776855,379.3394165,0.0127999997,0.0034135396,0.0057280511,8.2067270279,1.3228756189,3.870449543,-0.9894894958
1,609.59594727,140.91390991,0.0127999997,0.0136541585,0.0042960383,8.2067270279,1.3228756189,4.2404427528,0.2030171156
1,1341.5606689,92.503089905,-0.0127999997,-0.0204799995,-0.0021723635,11.309932709,1.8027756214,3.9097118378,1.4322211742
0,1174.3106689,104.84472656,-0.0127999997,-0.0136541585,-0.0042960383,8.2067270279,1.3228756189,4.0846533775,-5.0676865578
1,195.60536194,201.30348206,0.0255999994,0.1599999964,0,4.5739212036,1,3.3695209026,-1.1703813076
1,4440.355957,583.47509766,-0.0511999987,-0.0337923169,-0.0175982211,11.527973175,2.1213202477,3.8676431179,1.2385423183
0,457.16427612,66.706680298,0.0127999997,0.0286216699,-0.001153235,15.020256996,2.3979158401,2.8763129711,-3.1014740467
1,2499.4223633,312.04162598,-0.0127999997,0,-0.0060343426,11.309932709,1.8027756214,3.4500048161,1.4077619314
1,213.27593994,71.514091492,0.0255999994,0.2262741625,0,3.2376880646,0.7071067691,3.5650806427,1.4077619314
0,245.30821228,19.745866776,-0.0127999997,0,-0.0063239611,5.1110897064,1.1180340052,3.6037180424,-2.0947155952
0,1998.227417,168.01971436,-0.0127999997,-0.0204799995,-0.0021723635,11.309932709,1.8027756214,3.8310699463,1.2498301268
0,268.94503784,30.177667618,0.0127999997,0.0572433397,0.0012647922,5.1110897064,0.8660253882,4.4424929619,0.4596554339
1,2792.9360352,271.64794922,-0.0384000018,-0.0158459228,-0.0137650101,14.366056442,2.3979158401,3.6652042866,1.1446615458
1,907.82971191,109.47911072,0.0255999994,0.0120268799,0.0012041345,40.062217712,7.4498324394,2.2862329483,-1.7520393133
0,187.95547485,17.677669525,0.0255999994,0.1414213628,0.004777052,3.2376880646,0.7071067691,4.0319347382,-2.0294163227
1,2649.9450684,186.62495422,-0.0127999997,-0.0219827723,0.0005941705,17.874008179,2.8722813129,3.5772192478,-1.1517214775
1,8466.1503906,255.63363647,-0.0255999994,-0.0395455547,-0.0033032889,13.128846169,2.1213202477,4.4545226097,-2.0947155952
0,1072.6556396,110.50896454,0.0127999997,0.0097513376,0.0035476831,14.366056442,2.291287899,3.0357429981,-10.26822567
0,156.25,0,0.0255999994,0,0.0127388053,3.2376880646,0.7071067691,3.8910455704,0.9000852108
0,5647.7607422,148.665802,-0.0255999994,-0.1697056293,-0.0031847013,3.2376880646,0.7071067691,4.2476258278,-3.2066423893
0,852.50213623,150.28448486,0,0.0153609281,-0.0039302134,16.089893341,2.5495097637,3.027233839,-0.0026803017
0,760.32275391,45.706947327,0,-0.0143108349,0.0024418582,10.142106056,1.5811388493,3.8396763802,-3.1014740467
0,674.06555176,105.82268524,-0.0127999997,-0.0715541765,0,5.1110897064,0.8660253882,4.6784310341,-6.4460196495
0,4227.3325195,232.9903717,-0.0127999997,-0.0715541765,0,5.1110897064,0.8660253882,3.9148178101,1.2454736233
1,4740.9238281,306.68615723,-0.0255999994,-0.0153339915,-0.0085190088,13.128846169,2.1213202477,3.3093779087,2.3242394924
1,578.46820068,162.3848877,0,0,0,21.801408768,3.535533905,2.5300660133,0.6469913721
1,1085.0179443,550.10284424,0,-0.0046175136,0.0017759291,34.353397369,6.0415229797,2.4859178066,-4.3103017807
1,3253.6784668,489.16409302,0.0127999997,0.0056943125,0.0033478271,21.502174377,3.5,3.5780856609,-3.4645023346
1,678.15014648,52.05399704,0.0127999997,0.0034135396,0.0057280511,8.2067270279,1.3228756189,3.9243171215,0.4082200527
0,182.60719299,17.677669525,0.0127999997,0,0.0063846707,2.290610075,0.5,4.4871225357,1.6501880884
0,2196.7590332,128.77630615,-0.0255999994,-0.0334926657,-0.0046072188,13.128846169,2.1213202477,3.7031779289,-7.2734246254
1,1312.5111084,304.10714722,0.0127999997,0.0001846829,0.0039369529,31.18693161,5.3619027138,2.6069424152,1.2277226448
1,17185.876953,657.57702637,-0.064000003,-0.3199999929,-0.0191540122,2.290610075,1.3228756189,3.471506834,-0.8120871186
1,625.48956299,686.00158691,0.0127999997,0.021327436,0.0011107321,13.674945831,2.1794495583,2.7555611134,-2.0947155952
0,156.25,0,0,0,0,0,0,7.676132679,-3.2066423893
1,2288.6647949,246.69290161,-0.0255999994,-0.0171498582,-0.003572599,25.007928848,4.1833000183,3.1109154224,1.4767802954
1,375.63021851,44.555625916,-0.0255999994,-0.0354175083,-0.0081242407,7.2091207504,1.224744916,3.1613616943,2.3067522049
1,461.00143433,108.54048157,0.0384000018,0.0281600002,0.0127928061,11.309932709,1.9364917278,3.139390707,1.4330836535
0,1019.0822754,103.67778015,-0.0127999997,-0.0010655953,-0.0046347501,23.035480499,3.7749171257,2.6062767506,-3.2066423893
1,6179.0239258,465.44732666,0,-0.0121057825,0.0042030578,25.007928848,4.123105526,3.7273304462,-0.5828107595
1,441.6307373,271.32281494,0.0384000018,0.0456537642,0.0112101194,9.3651580811,1.6583124399,3.0864100456,0.010146495
0,1517.420166,821.12866211,-0.0255999994,-0.0283614099,-0.0065993327,11.527973175,1.8708287477,3.1622505188,-0.7263890505
1,2390.1213379,213.44821167,0.0255999994,0.0070365816,0.0036769821,37.575237274,6.8190908432,3.3106915951,1.2957376242
1,2352.2543945,292.2875061,0,0,0,23.307014465,3.8078866005,3.238052845,2.185993433
0,156.25,0,0.0255999994,0.1131370813,0.0063694026,3.2376880646,0.7071067691,3.9654874802,-3.0314254761
1,4945.0576172,319.21447754,-0.0384000018,-0.0358406715,-0.0040917885,21.502174377,3.5707142353,3.7517499924,1.739880681
1,1253.9661865,238.18257141,0.0255999994,0.0172056705,0.0066165486,16.942358017,2.7386128902,3.0783450603,1.1446615458
1,1650.4799805,345.1739502,-0.0127999997,-0.0070525231,-0.0036495891,17.34932518,2.7838821411,3.3923676014,1.5316576958
1,2432.6213379,640.09332275,0.0127999997,0.0047951788,0.0033988166,23.035480499,3.7749171257,3.3011863232,-3.3284525871
0,599.31317139,178.01286316,0.0255999994,0.0162917394,0.0072988477,15.793169022,2.5495097637,2.5839025974,1.6501880884
1,7345.2578125,326.39761353,-0.0384000018,-0.0270147529,-0.0115833497,13.674945831,2.291287899,3.8440618515,1.6502910852
1,2213.7402344,255.61405945,0.0255999994,0.0166994017,0.0056114248,19.911167145,3.2403702736,2.992436409,0.5691997409
0,500.57061768,28.507322311,-0.0255999994,-0.1131370813,-0.0063694026,3.2376880646,0.7071067691,4.3654465675,-2.0294163227
